,code,code_id,date,location_id,pcs_m,project_id,quantity
0,G82,G82,2019-10-24,rolle-plage,0.93,EPFL,14
1,G30,G30,2019-10-24,rolle-plage,0.73,EPFL,11
2,G92,G92,2019-10-24,rolle-plage,0.07,EPFL,1
3,G142,G142,2019-10-24,rolle-plage,0.2,EPFL,3
4,G27,G27,2019-10-24,rolle-plage,1.53,EPFL,23
5,G125,G125,2019-10-24,rolle-plage,0.07,EPFL,1
6,G131,G131,2019-10-24,rolle-plage,0.07,EPFL,1
7,G100,G100,2019-10-24,rolle-plage,0.07,EPFL,1
8,G198,G198,2019-10-24,rolle-plage,0.07,EPFL,1
9,G87,G87,2019-10-24,rolle-plage,0.13,EPFL,2
10,G21,G21,2019-10-24,rolle-plage,0.07,EPFL,1
11,G204,G204,2019-10-24,rolle-plage,0.53,EPFL,8
12,G210,G210,2019-10-24,rolle-plage,0.6,EPFL,9
13,G148,G148,2019-10-24,rolle-plage,0.07,EPFL,1
14,G95,G95,2019-10-24,rolle-plage,0.13,EPFL,2
15,G177,G177,2019-10-24,rolle-plage,0.07,EPFL,1
16,G32,G32,2019-10-24,rolle-plage,0.47,EPFL,7
17,G159,G159,2019-10-24,rolle-plage,0.07,EPFL,1
18,G89,G89,2019-10-24,rolle-plage,0.2,EPFL,3
19,G24,G24,2019-10-24,rolle-plage,0.07,EPFL,1
20,G79,G79,2019-10-24,rolle-plage,3.47,EPFL,52
21,G134,G134,2019-10-24,rolle-plage,0.13,EPFL,2
22,G93,G93,2019-10-10,parc-des-pierrettes,0.1,EPFL,3
23,G10,G10,2019-10-10,parc-des-pierrettes,0.07,EPFL,2
24,G70,G70,2019-10-10,parc-des-pierrettes,0.03,EPFL,1
25,G178,G178,2019-10-10,parc-des-pierrettes,0.03,EPFL,1
26,G82,G82,2019-10-10,parc-des-pierrettes,2.33,EPFL,70
27,G208,G208,2019-10-10,parc-des-pierrettes,0.4,EPFL,12
28,G33,G33,2019-10-10,parc-des-pierrettes,0.1,EPFL,3
29,G133,G133,2019-10-10,parc-des-pierrettes,0.03,EPFL,1
30,G96,G96,2019-10-10,parc-des-pierrettes,0.03,EPFL,1
31,G159,G159,2019-10-10,parc-des-pierrettes,0.07,EPFL,2
32,G100,G100,2019-10-10,parc-des-pierrettes,0.3,EPFL,9
33,G98,G98,2019-10-10,parc-des-pierrettes,0.03,EPFL,1
34,G213,G213,2019-10-10,parc-des-pierrettes,0.03,EPFL,1
35,G204,G204,2019-10-10,parc-des-pierrettes,0.17,EPFL,5
