location_id,Year one,Year two,Year three,Total
parc-des-pierrettes,1,1,0,2
plage-de-st-sulpice,1,1,0,2
saint-sulpice,0,0,1,1
tiger-duck-beach,0,0,1,1
anarchy-beach,0,0,1,1
arabie,3,1,1,5
bain-des-dames,1,1,1,3
baye-de-clarens,13,0,0,13
baye-de-montreux-d,15,1,0,16
baye-de-montreux-g,11,1,0,12
boiron,1,0,0,1
grand-clos,1,1,0,2
jardin-botanique,3,0,0,3
la-morges,0,1,0,1
le-pierrier,3,1,0,4
le-port,1,0,0,1
maladaire,2,0,0,2
oyonne,1,1,0,2
pierrier-sud,1,0,0,1
plage-de-dorigny,0,1,0,1
quai-maria-belgia,0,8,2,10
thonnon-les-bains,1,0,0,1
versoix,0,1,0,1
veveyse,14,3,0,17
vidy,1,0,0,1
villa-barton,9,0,0,9
preverenges,0,0,2,2
lac-leman-hammerdirt,0,1,0,1
lacleman_gland_kubela,0,6,5,11
lacleman_gland_lecoanets,0,4,5,9
lacleman_vidy_santie,0,7,5,12
Total,83,41,24,148
